,Water_100kVp_1FBP_3mm,Water_120kVp_2Safire_3mm,Water_100kVp_2Safire_3mm,Water_100kVp_1Safire_0-6mm,Water_100kVp_1Safire_3mm,Water_100kVp_2FBP_1-5mm,Water_120kVp_1Safire_3mm,Water_120kVp_1FBP_1-5mm,Water_120kVp_1Safire_0-6mm,Water_120kVp_1FBP_0-6mm,Water_120kVp_1Safire_1-5mm,Water_100kVp_2FBP_0-6mm,Water_100kVp_1Safire_1-5mm,Water_120kVp_2FBP_3mm,Water_120kVp_2FBP_0-6mm,Water_100kVp_1FBP_0-6mm,Water_120kVp_2Safire_0-6mm,Water_120kVp_1FBP_3mm,Water_100kVp_2Safire_0-6mm,Water_100kVp_2Safire_1-5mm,Water_100kVp_1FBP_1-5mm,Water_100kVp_2FBP_3mm,Water_120kVp_2Safire_1-5mm,Water_120kVp_2FBP_1-5mm
original_firstorder_Maximum,169.0,98.0,112.0,283.0,144.0,222.0,104.0,183.0,287.0,395.0,129.0,371.0,151.0,129.0,324.0,423.0,253.0,134.0,254.0,152.0,215.0,151.0,123.0,180.0
original_firstorder_MeanAbsoluteDeviation,30.029237090652213,17.85816671079682,19.537670304084443,47.57218815134637,19.963217908206683,40.831604092664115,17.25240385834777,36.95970561537937,42.718076398053704,66.82943855436419,24.707427502710843,73.75220319804771,27.39998537482874,26.91464140187495,69.58965676631252,74.09981637742143,43.050288694746975,26.06884282324139,47.27128807411594,27.297217978308737,40.84570300831967,29.44397582343828,25.000601240294152,37.23113347727322
original_firstorder_Mean,0.17211231295185786,0.2979880065011489,0.010256122849296643,-1.1599075975359343,0.09264137196659755,-0.5175925192170536,0.4039679426105476,-0.03324352167366669,0.14046885694729638,0.3061088295687885,-0.062168159125128776,-0.9610027378507872,-0.7943973373484429,0.30191111360197276,0.223792394655704,-0.9758213552361397,-0.19668035592060232,0.594743036484896,-1.0578542094455852,-0.6492194310167209,-0.6729931056343609,0.02028806814997478,0.047705840399397736,0.05028132181630874
original_firstorder_Median,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
original_firstorder_Minimum,-160.0,-111.0,-119.0,-296.0,-120.0,-211.0,-119.0,-196.0,-258.0,-361.0,-154.0,-391.0,-172.0,-146.0,-366.0,-373.0,-296.0,-139.0,-302.0,-146.0,-247.0,-147.0,-176.0,-229.0
original_firstorder_Range,329.0,209.0,231.0,579.0,264.0,433.0,223.0,379.0,545.0,756.0,283.0,762.0,323.0,275.0,690.0,796.0,549.0,273.0,556.0,298.0,462.0,298.0,299.0,409.0
original_firstorder_RobustMeanAbsoluteDeviation,21.181716739670232,12.570983686723668,13.578989621343808,33.130478112809314,13.95515689864133,28.632217140629134,12.133138297300436,26.072858174223406,29.917745081147014,46.8683719586901,17.431566280722294,51.68780105953164,19.164559813426262,18.916357006915216,48.659444480191084,51.71848778285017,30.044460834166806,18.38336422201561,33.0737032052244,19.02989888327327,28.671998547753898,20.517475770739605,17.487983489772542,26.139499005493214
original_firstorder_RootMeanSquared,37.7115962308187,22.553269092480413,24.83167905981519,60.08294389558055,25.328129642904084,51.297847649473354,21.75444935650888,46.42399740080492,53.837727542245624,83.93101867990244,31.105110423287115,92.64499734945704,34.60596518939924,33.7907249399719,87.48563592063958,93.16882248494217,54.32240970130404,32.72736848377999,59.621872752139204,34.422188126596126,51.45199307827405,37.1242832688702,31.496157298283325,46.796124713657456
original_firstorder_Skewness,0.005960511399993909,-0.01674979591352155,-0.05258073514603709,0.005692320895750341,0.017181027273057446,0.016391466589529256,-0.009637103990651485,-0.005704189052405038,-0.02034499272801898,-0.016063892139961008,-0.002814340864240853,0.00853619065317213,0.01777711817398668,-0.011087293521436092,-0.0011298892045069054,0.004654219345653601,0.0012458524201049254,-0.009625655006351975,0.006880823818475357,0.012671419198043396,0.017056069503778543,-0.0371596484924081,0.0023713222092843623,0.007743858854034945
original_firstorder_TotalEnergy,39541375.35828781,14142329.251110077,17144077.197566986,65744435.93421642,17836440.175518036,51743677.5973835,13158249.911361694,42378352.77730751,52787371.44224662,128292593.47238088,19024905.15237236,156314959.56776917,23548374.751413345,31746580.91046524,64984960.03652249,158087601.18606648,53742102.08034755,29779960.21284485,64739273.696985036,23298928.73851204,52055115.03175163,38319346.692855835,19506266.210494995,43060471.892183304
